time;BE_pv_national_current;BE_wind_offshore_current;BE_wind_onshore_current
2015-01-01T00:00:00Z;0.0000;0.5116;0.1346
2015-01-01T01:00:00Z;0.0000;0.5036;0.1372
2015-01-01T02:00:00Z;0.0000;0.5238;0.1514
2015-01-01T03:00:00Z;0.0000;0.5404;0.1673
2015-01-01T04:00:00Z;0.0000;0.5181;0.1865
2015-01-01T05:00:00Z;0.0000;0.5215;0.1814
2015-01-01T06:00:00Z;0.0000;0.5659;0.1843
2015-01-01T07:00:00Z;0.0000;0.5989;0.2054
2015-01-01T08:00:00Z;0.0420;0.6152;0.2824
2015-01-01T09:00:00Z;0.1940;0.6092;0.2860
2015-01-01T10:00:00Z;0.2800;0.6080;0.2653
2015-01-01T11:00:00Z;0.3200;0.6269;0.2856
2015-01-01T12:00:00Z;0.2820;0.6867;0.3310
2015-01-01T13:00:00Z;0.1850;0.7313;0.3871
2015-01-01T14:00:00Z;0.0760;0.7573;0.4411
2015-01-01T15:00:00Z;0.0050;0.7869;0.5095
2015-01-01T16:00:00Z;0.0000;0.8207;0.5524
2015-01-01T17:00:00Z;0.0000;0.8534;0.5789
2015-01-01T18:00:00Z;0.0000;0.8771;0.6116
2015-01-01T19:00:00Z;0.0000;0.8967;0.6458
2015-01-01T20:00:00Z;0.0000;0.9094;0.6711
2015-01-01T21:00:00Z;0.0000;0.9222;0.6942
2015-01-01T22:00:00Z;0.0000;0.9329;0.7133
2015-01-01T23:00:00Z;0.0000;0.9405;0.7255
2015-01-02T00:00:00Z;0.0000;0.9455;0.7378
2015-01-02T01:00:00Z;0.0000;0.9499;0.7472
2015-01-02T02:00:00Z;0.0000;0.9500;0.7587
2015-01-02T03:00:00Z;0.0000;0.9452;0.7701
2015-01-02T04:00:00Z;0.0000;0.9151;0.7673
2015-01-02T05:00:00Z;0.0000;0.8664;0.7482
2015-01-02T06:00:00Z;0.0000;0.8364;0.7106
2015-01-02T07:00:00Z;0.0000;0.7961;0.6691
2015-01-02T08:00:00Z;0.0110;0.7012;0.5718
2015-01-02T09:00:00Z;0.0410;0.6909;0.4818
2015-01-02T10:00:00Z;0.0690;0.7376;0.4139
2015-01-02T11:00:00Z;0.0980;0.7293;0.4010
2015-01-02T12:00:00Z;0.1340;0.7410;0.4271
2015-01-02T13:00:00Z;0.1670;0.7496;0.4491
2015-01-02T14:00:00Z;0.1190;0.7354;0.4490
2015-01-02T15:00:00Z;0.0110;0.7839;0.4743
2015-01-02T16:00:00Z;0.0000;0.7878;0.4957
2015-01-02T17:00:00Z;0.0000;0.6988;0.4409
2015-01-02T18:00:00Z;0.0000;0.5887;0.3966
2015-01-02T19:00:00Z;0.0000;0.5116;0.3588
2015-01-02T20:00:00Z;0.0000;0.4647;0.3294
2015-01-02T21:00:00Z;0.0000;0.4107;0.2905
2015-01-02T22:00:00Z;0.0000;0.3842;0.2689
2015-01-02T23:00:00Z;0.0000;0.3593;0.2772
2015-01-03T00:00:00Z;0.0000;0.3216;0.2662
2015-01-03T01:00:00Z;0.0000;0.3325;0.2447
2015-01-03T02:00:00Z;0.0000;0.3432;0.2373
2015-01-03T03:00:00Z;0.0000;0.3430;0.2359
2015-01-03T04:00:00Z;0.0000;0.3136;0.2298
2015-01-03T05:00:00Z;0.0000;0.2585;0.2124
2015-01-03T06:00:00Z;0.0000;0.2176;0.2317
2015-01-03T07:00:00Z;0.0000;0.2185;0.2722
2015-01-03T08:00:00Z;0.0020;0.2888;0.2799
2015-01-03T09:00:00Z;0.0100;0.3114;0.2382
2015-01-03T10:00:00Z;0.0180;0.3006;0.1960
2015-01-03T11:00:00Z;0.0300;0.2970;0.2102
2015-01-03T12:00:00Z;0.0510;0.2205;0.2124
2015-01-03T13:00:00Z;0.0400;0.1016;0.1393
2015-01-03T14:00:00Z;0.0100;0.0344;0.1208
2015-01-03T15:00:00Z;0.0000;0.0275;0.1588
2015-01-03T16:00:00Z;0.0000;0.1042;0.2056
2015-01-03T17:00:00Z;0.0000;0.1705;0.2198
2015-01-03T18:00:00Z;0.0000;0.1669;0.2063
2015-01-03T19:00:00Z;0.0000;0.2594;0.1439
2015-01-03T20:00:00Z;0.0000;0.3671;0.1060
2015-01-03T21:00:00Z;0.0000;0.3805;0.1134
2015-01-03T22:00:00Z;0.0000;0.3732;0.1523
2015-01-03T23:00:00Z;0.0000;0.3746;0.1908
2015-01-04T00:00:00Z;0.0000;0.3638;0.2304
2015-01-04T01:00:00Z;0.0000;0.2874;0.2349
2015-01-04T02:00:00Z;0.0000;0.2195;0.2070
2015-01-04T03:00:00Z;0.0000;0.2086;0.1847
2015-01-04T04:00:00Z;0.0000;0.2286;0.2010
2015-01-04T05:00:00Z;0.0000;0.2190;0.2301
2015-01-04T06:00:00Z;0.0000;0.1929;0.2286
2015-01-04T07:00:00Z;0.0000;0.1599;0.2227
2015-01-04T08:00:00Z;0.0380;0.1232;0.2078
2015-01-04T09:00:00Z;0.1300;0.1035;0.1596
2015-01-04T10:00:00Z;0.2330;0.0930;0.1170
2015-01-04T11:00:00Z;0.2800;0.0869;0.1108
2015-01-04T12:00:00Z;0.2890;0.0809;0.1082
2015-01-04T13:00:00Z;0.2370;0.0756;0.0988
2015-01-04T14:00:00Z;0.1330;0.0756;0.1115
2015-01-04T15:00:00Z;0.0160;0.0780;0.1355
2015-01-04T16:00:00Z;0.0000;0.0804;0.1392
2015-01-04T17:00:00Z;0.0000;0.0981;0.1436
2015-01-04T18:00:00Z;0.0000;0.1259;0.1591
2015-01-04T19:00:00Z;0.0000;0.1473;0.1841
2015-01-04T20:00:00Z;0.0000;0.1624;0.2136
2015-01-04T21:00:00Z;0.0000;0.1634;0.2312
2015-01-04T22:00:00Z;0.0000;0.1594;0.2165
2015-01-04T23:00:00Z;0.0000;0.1613;0.1864
2015-01-05T00:00:00Z;0.0000;0.1699;0.1711
2015-01-05T01:00:00Z;0.0000;0.1798;0.1662
2015-01-05T02:00:00Z;0.0000;0.1971;0.1648
2015-01-05T03:00:00Z;0.0000;0.2125;0.1556
2015-01-05T04:00:00Z;0.0000;0.2256;0.1531
2015-01-05T05:00:00Z;0.0000;0.2331;0.1643
2015-01-05T06:00:00Z;0.0000;0.2250;0.1671
2015-01-05T07:00:00Z;0.0000;0.2198;0.1637
2015-01-05T08:00:00Z;0.0500;0.2240;0.1610
2015-01-05T09:00:00Z;0.1400;0.2361;0.1573
2015-01-05T10:00:00Z;0.2230;0.2493;0.1606
2015-01-05T11:00:00Z;0.2290;0.2410;0.1653
2015-01-05T12:00:00Z;0.1930;0.2290;0.1550
2015-01-05T13:00:00Z;0.1390;0.2166;0.1400
2015-01-05T14:00:00Z;0.0590;0.2089;0.1395
2015-01-05T15:00:00Z;0.0040;0.2087;0.1707
2015-01-05T16:00:00Z;0.0000;0.2181;0.1960
2015-01-05T17:00:00Z;0.0000;0.2352;0.1951
2015-01-05T18:00:00Z;0.0000;0.2530;0.1846
2015-01-05T19:00:00Z;0.0000;0.2657;0.1771
2015-01-05T20:00:00Z;0.0000;0.2612;0.1673
2015-01-05T21:00:00Z;0.0000;0.2468;0.1581
2015-01-05T22:00:00Z;0.0000;0.2259;0.1531
2015-01-05T23:00:00Z;0.0000;0.2104;0.1487
2015-01-06T00:00:00Z;0.0000;0.2043;0.1500
2015-01-06T01:00:00Z;0.0000;0.2021;0.1599
2015-01-06T02:00:00Z;0.0000;0.1959;0.1698
2015-01-06T03:00:00Z;0.0000;0.1872;0.1713
2015-01-06T04:00:00Z;0.0000;0.1865;0.1715
2015-01-06T05:00:00Z;0.0000;0.2017;0.1737
2015-01-06T06:00:00Z;0.0000;0.2180;0.1822
2015-01-06T07:00:00Z;0.0000;0.2302;0.1900
2015-01-06T08:00:00Z;0.0350;0.2345;0.1772
2015-01-06T09:00:00Z;0.0960;0.2442;0.1510
2015-01-06T10:00:00Z;0.1550;0.2504;0.1577
2015-01-06T11:00:00Z;0.1860;0.2811;0.1882
2015-01-06T12:00:00Z;0.1810;0.3406;0.2143
2015-01-06T13:00:00Z;0.1360;0.4012;0.2142
2015-01-06T14:00:00Z;0.0580;0.4330;0.2148
2015-01-06T15:00:00Z;0.0030;0.4467;0.2826
2015-01-06T16:00:00Z;0.0000;0.4482;0.3223
2015-01-06T17:00:00Z;0.0000;0.3968;0.3305
2015-01-06T18:00:00Z;0.0000;0.4701;0.3362
2015-01-06T19:00:00Z;0.0000;0.5269;0.3488
2015-01-06T20:00:00Z;0.0000;0.5490;0.3626
2015-01-06T21:00:00Z;0.0000;0.5117;0.3787
