utc_timestamp;BE_load_actual_entsoe_transparency
2015-01-01T00:00:00Z;94.840.000
2015-01-01T01:00:00Z;91.520.000
2015-01-01T02:00:00Z;87.990.000
2015-01-01T03:00:00Z;85.670.000
2015-01-01T04:00:00Z;84.870.000
2015-01-01T05:00:00Z;84.280.000
2015-01-01T06:00:00Z;81.220.000
2015-01-01T07:00:00Z;81.790.000
2015-01-01T08:00:00Z;83.400.000
2015-01-01T09:00:00Z;86.770.000
2015-01-01T10:00:00Z;88.990.000
2015-01-01T11:00:00Z;90.920.000
2015-01-01T12:00:00Z;90.880.000
2015-01-01T13:00:00Z;89.400.000
2015-01-01T14:00:00Z;89.190.000
2015-01-01T15:00:00Z;90.170.000
2015-01-01T16:00:00Z;96.640.000
2015-01-01T17:00:00Z;99.140.000
2015-01-01T18:00:00Z;98.520.000
2015-01-01T19:00:00Z;95.730.000
2015-01-01T20:00:00Z;94.220.000
2015-01-01T21:00:00Z;98.960.000
2015-01-01T22:00:00Z;100.620.000
2015-01-01T23:00:00Z;94.890.000
2015-01-02T00:00:00Z;90.010.000
2015-01-02T01:00:00Z;85.710.000
2015-01-02T02:00:00Z;83.210.000
2015-01-02T03:00:00Z;82.770.000
2015-01-02T04:00:00Z;85.170.000
2015-01-02T05:00:00Z;90.000.000
2015-01-02T06:00:00Z;92.260.000
2015-01-02T07:00:00Z;97.690.000
2015-01-02T08:00:00Z;102.430.000
2015-01-02T09:00:00Z;105.570.000
2015-01-02T10:00:00Z;107.810.000
2015-01-02T11:00:00Z;107.700.000
2015-01-02T12:00:00Z;106.060.000
2015-01-02T13:00:00Z;103.200.000
2015-01-02T14:00:00Z;102.250.000
2015-01-02T15:00:00Z;103.940.000
2015-01-02T16:00:00Z;112.120.000
2015-01-02T17:00:00Z;114.290.000
2015-01-02T18:00:00Z;110.570.000
2015-01-02T19:00:00Z;105.160.000
2015-01-02T20:00:00Z;99.930.000
2015-01-02T21:00:00Z;103.620.000
2015-01-02T22:00:00Z;104.400.000
2015-01-02T23:00:00Z;98.800.000
2015-01-03T00:00:00Z;92.950.000
2015-01-03T01:00:00Z;89.010.000
2015-01-03T02:00:00Z;85.510.000
2015-01-03T03:00:00Z;85.360.000
2015-01-03T04:00:00Z;86.190.000
2015-01-03T05:00:00Z;89.210.000
2015-01-03T06:00:00Z;90.100.000
2015-01-03T07:00:00Z;96.050.000
2015-01-03T08:00:00Z;101.170.000
2015-01-03T09:00:00Z;107.050.000
2015-01-03T10:00:00Z;110.680.000
2015-01-03T11:00:00Z;111.280.000
2015-01-03T12:00:00Z;110.040.000
2015-01-03T13:00:00Z;108.160.000
2015-01-03T14:00:00Z;108.340.000
2015-01-03T15:00:00Z;110.720.000
2015-01-03T16:00:00Z;115.150.000
2015-01-03T17:00:00Z;115.030.000
2015-01-03T18:00:00Z;110.980.000
2015-01-03T19:00:00Z;106.920.000
2015-01-03T20:00:00Z;102.320.000
2015-01-03T21:00:00Z;104.250.000
2015-01-03T22:00:00Z;104.210.000
2015-01-03T23:00:00Z;99.410.000
2015-01-04T00:00:00Z;94.470.000
